车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
雪铁龙世嘉,Citroen,外国,2007款,世嘉-两厢,1.6L,手动,,2009/2/1,5.8,3.7,12.9,0.29,小于10万,中低级轿车
日产颐达,Nissan,外国,2009款,颐达,1.6L,自动,JE科技版,2009/4/1,5.8,5.3,14.4,0.37,小于10万,中低级轿车
丰田威驰,Toyota,外国,2010款,威驰,1.6L,自动,GL-i,2010/12/1,5.8,4.99,11.7,0.43,小于10万,中低级轿车
丰田威驰,Toyota,外国,2010款,威驰,1.6L,自动,GL-i,2010/12/1,5.8,4.99,11.7,0.43,小于10万,中低级轿车
别克英朗,Buick,外国,2013款,英朗XT,1.6L,自动,时尚版,2013/9/1,5.8,8.2,16.3,0.5,小于10万,中低级轿车
别克英朗,Buick,外国,2013款,英朗XT,1.6L,自动,时尚版,2013/9/1,5.8,8.2,16.3,0.5,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2012款,速腾,1.6L,手动,舒适版,2012/9/1,5.8,8.6,15.1,0.57,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2012款,速腾,1.6L,手动,舒适版,2012/9/1,5.8,8.6,15.1,0.57,小于10万,中低级轿车
斯柯达晶锐,Skoda,外国,2008款,晶锐,1.6L,手动,晶灵版,2009/6/1,5.9,3.4,10.6,0.32,小于10万,中低级轿车
斯柯达晶锐,Skoda,外国,2008款,晶锐,1.6L,手动,晶灵版,2009/6/1,5.9,3.4,10.6,0.32,小于10万,中低级轿车
丰田威驰,Toyota,外国,2008款,威驰,1.6L,自动,GL-i特别纪念版,2010/8/1,5.9,4.99,11.7,0.43,小于10万,中低级轿车
大众Polo,Volkswagen,外国,2012款,Cross POLO,1.6L,自动,,2012/11/1,5.9,7.1,13.7,0.52,小于10万,中低级轿车
大众Polo,Volkswagen,外国,2012款,Cross POLO,1.6L,自动,,2012/11/1,5.9,7.1,13.7,0.52,小于10万,中低级轿车
大众朗逸,Volkswagen,外国,2013款,朗逸,1.6L,自动,舒适版(改款),2014/5/1,5.9,9.5,15,0.63,小于10万,中低级轿车
大众朗逸,Volkswagen,外国,2013款,朗逸,1.6L,自动,舒适版(改款),2014/5/1,5.9,9.5,15,0.63,小于10万,中低级轿车
海马福美来二代,海马,中国,2010款,,1.6L,手动,舒适版,2010/5/1,6,3.5,8.3,0.42,小于10万,中低级轿车
大众捷达,Volkswagen,外国,2009款,捷达,1.6L,手动,CIF-P 伙伴精英版,2009/5/1,6,3.5,8,0.44,小于10万,中低级轿车
大众捷达,Volkswagen,外国,2009款,捷达,1.6L,手动,CIF-P伙伴精英版,2009/5/1,6,3.5,8,0.44,小于10万,中低级轿车
奇瑞瑞虎,奇瑞,中国,2012款,,1.6L,手动,DVVT,2012/3/1,6,4.89,9.7,0.5,小于10万,中低级轿车
奇瑞瑞虎,奇瑞,中国,2012款,,1.6L,手动,DVVT精英版舒适型,2012/3/1,6,4.89,9.7,0.5,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2014款,速腾,1.6L,自动,舒适型(改款),2014/5/1,6,11.2,16.4,0.68,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2011款,宝来,1.6L,手动,舒适版,2010/12/1,6.1,5.55,12.9,0.43,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2011款,宝来,1.6L,手动,舒适版,2010/12/1,6.1,5.55,12.9,0.43,小于10万,中低级轿车
现代伊兰特-三厢,Hyundai,外国,2011款,,1.6L,自动,GL 舒适型,2012/8/1,6.1,5,10.7,0.47,小于10万,中低级轿车
奇瑞A3-两厢,奇瑞,中国,2010款,,1.6L,手动,进取版,2010/12/1,6.3,3,8.1,0.37,小于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,自动,经典款 精英版,2010/8/1,6.3,5.6,14,0.4,小于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,自动,经典款 精英版,2010/8/1,6.3,5.6,14,0.4,小于10万,中低级轿车
奇瑞A3-两厢,奇瑞,中国,2011款,,1.6L,手动,进取版,2011/12/1,6.3,3.4,8.2,0.41,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2012款,,1.6L,手动,SE,2012/7/1,6.3,6.2,13,0.48,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2012款,,1.6L,手动,SE,2012/7/1,6.3,6.2,13,0.48,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2012款,朗动,1.6L,自动,DLX 尊贵型,2012/11/1,6.4,7.89,14.4,0.55,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2012款,朗动,1.6L,自动,DLX 尊贵型,2012/11/1,6.4,7.89,14.4,0.55,小于10万,中低级轿车
大众高尔夫,Volkswagen,外国,2010款,高尔夫6,1.6L,双离合,舒适版,2010/8/1,6.5,7,15.2,0.46,小于10万,中低级轿车
大众高尔夫,Volkswagen,外国,2010款,高尔夫6,1.6L,双离合,舒适版,2010/8/1,6.5,7,15.2,0.46,小于10万,中低级轿车
丰田卡罗拉,Toyota,外国,2007款,卡罗拉,1.6L,手动,GL,2010/7/1,6.6,5.6,13.9,0.4,小于10万,中低级轿车
马自达3,Mazda,外国,2010款,马自达3-两厢,1.6L,自动,豪华型(进口),2010/9/1,6.6,7.5,17.5,0.43,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2011款,宝来,1.6L,自动,舒适版,2010/12/1,6.6,7,14.2,0.49,小于10万,中低级轿车
大众捷达,Volkswagen,外国,2013款,捷达,1.6L,手动,舒适型,2014/4/1,6.6,6.5,10.7,0.61,小于10万,中低级轿车
大众捷达,Volkswagen,外国,2013款,捷达,1.6L,手动,舒适型,2014/4/1,6.6,6.5,10.7,0.61,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2013款,宝来,1.6L,自动,豪华版,2013/9/1,6.6,9,14.8,0.61,小于10万,中低级轿车
奇瑞瑞虎,奇瑞,中国,2012款,,1.6L,手动,DVVT 精英版舒适型,2013/8/1,6.7,5.2,9.7,0.54,小于10万,中低级轿车
奇瑞瑞虎,奇瑞,中国,2012款,,1.6L,手动,DVVT 精英版舒适型,2013/8/1,6.7,5.2,9.7,0.54,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,双离合,舒适型,2013/11/1,6.7,8,14.2,0.56,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,双离合,舒适型,2013/11/1,6.7,8,14.2,0.56,小于10万,中低级轿车
铃木天语SX4-两厢,铃木,中国,2009款,,1.6L,自动,运动版,2010/10/1,6.8,4.7,12.9,0.36,小于10万,中低级轿车
大众朗逸,Volkswagen,外国,2008款,朗逸,1.6L,自动,品轩版,2009/2/1,6.9,6.9,15.8,0.44,小于10万,中低级轿车
大众朗逸,Volkswagen,外国,2013款,朗逸,1.6L,手动,舒适版,2012/12/1,6.9,8,13.7,0.58,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2009款,世嘉-三厢,1.6L,手动,时尚型,2010/8/1,7,4.5,11.8,0.38,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2009款,世嘉-三厢,1.6L,手动,时尚型,2010/8/1,7,4.5,11.8,0.38,小于10万,中低级轿车
大众Polo,Volkswagen,外国,2009款,POLO 劲情,1.6L,手动,风尚版,2009/8/1,7,4.4,11,0.4,小于10万,中低级轿车
MINIClubman,BMW MINI,外国,2011款,Clubman,1.6L,自动,Fun(进口),2010/12/1,7,12.98,31.4,0.41,小于10万,中低级轿车
MINIClubman,BMW MINI,外国,2011款,Clubman,1.6L,自动,Fun(进口),2010/12/1,7,12.98,31.4,0.41,小于10万,中低级轿车
大众Polo,Volkswagen,外国,2009款,POLO 劲情,1.6L,自动,Sporty,2010/4/1,7,5.5,11.7,0.47,小于10万,中低级轿车
大众Polo,Volkswagen,外国,2009款,POLO 劲情,1.6L,自动,Sporty,2010/4/1,7,5.5,11.7,0.47,小于10万,中低级轿车
日产逍客,Nissan,外国,2012款,逍客,1.6L,手动,XE 风 两驱,2012/3/1,7,8.2,15.2,0.54,小于10万,中低级轿车
日产逍客,Nissan,外国,2012款,逍客,1.6L,手动,XE 风 两驱,2012/3/1,7,8.2,15.2,0.54,小于10万,中低级轿车
别克英朗,Buick,外国,2013款,英朗GT,1.6L,手动,进取版,2013/8/1,7,8.2,14.9,0.55,小于10万,中低级轿车
别克英朗,Buick,外国,2013款,英朗GT,1.6L,手动,进取版,2013/8/1,7,8.2,14.9,0.55,小于10万,中低级轿车
别克凯越,Buick,外国,2008款,,1.6L,自动,舒适版,2010/6/1,7.1,4.2,12.8,0.33,小于10万,中低级轿车
别克凯越,Buick,外国,2008款,,1.6L,自动,舒适版,2010/6/1,7.1,4.2,12.8,0.33,小于10万,中低级轿车
雪铁龙爱丽舍,Citroen,外国,2009款,爱丽舍-两厢,1.6L,手动,标准型,2010/1/1,7.2,3,8,0.38,小于10万,中低级轿车
雪铁龙爱丽舍,Citroen,外国,2009款,爱丽舍-两厢,1.6L,手动,标准型,2010/1/1,7.2,3,8,0.38,小于10万,中低级轿车
斯柯达晶锐,Skoda,外国,2009款,晶锐,1.6L,自动,晶灵版,2010/1/1,7.2,4.5,11.9,0.38,小于10万,中低级轿车
斯柯达晶锐,Skoda,外国,2009款,晶锐,1.6L,自动,晶灵版,2010/1/1,7.2,4.5,11.9,0.38,小于10万,中低级轿车
标致408,Peugeot,外国,2010款,,1.6L,手动,舒适版,2010/8/1,7.3,4.8,13.2,0.36,小于10万,中低级轿车
标致408,Peugeot,外国,2010款,,1.6L,手动,舒适版,2010/8/1,7.3,4.8,13.2,0.36,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2008款,悦动,1.6L,手动,豪华型,2009/8/1,7.3,4.5,11.9,0.38,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-三厢,1.6L,自动,舒适型,2011/6/1,7.3,6.5,14.2,0.46,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2013款,,1.6L,手动,SE,2012/10/1,7.3,6.5,13,0.5,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2013款,,1.6L,手动,SE,2012/10/1,7.3,6.5,13,0.5,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2012款,速腾,1.6L,手动,舒适版,2012/11/1,7.4,8.8,15.1,0.58,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2012款,速腾,1.6L,手动,舒适版,2012/11/1,7.4,8.8,15.1,0.58,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2013款,宝来,1.6L,自动,豪华版,2013/5/1,7.4,9,14.8,0.61,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2011款,悦动,1.6L,手动,舒适型,2013/10/1,7.4,6.8,10.8,0.63,小于10万,中低级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,1.6L,自动,(进口),2010/9/1,7.6,9.8,21.9,0.45,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2011款,速腾,1.6L,手动,舒适版,2011/7/1,7.6,8,14.7,0.54,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,自动,SL,2009/8/1,7.8,4.5,13.3,0.34,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,自动,SL,2009/8/1,7.8,4.5,13.3,0.34,小于10万,中低级轿车
斯柯达明锐,Skoda,外国,2009款,明锐,1.6L,手动,逸致版,2009/3/1,8,5.2,13.6,0.38,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-三厢,1.6L,自动,时尚型,2011/4/1,8,5.4,12.9,0.42,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-三厢,1.6L,自动,时尚型,2011/4/1,8,5.4,12.9,0.42,小于10万,中低级轿车
斯柯达明锐,Skoda,外国,2007款,明锐,1.6L,自动,逸仕版,2008/9/1,8.1,7.2,15.9,0.45,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,双离合,风尚型,2013/1/1,8.1,8,15.6,0.51,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,双离合,风尚型,2013/1/1,8.1,8,15.6,0.51,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2011款,悦动,1.6L,手动,舒适型,2013/5/1,8.1,6.7,10.8,0.62,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2011款,悦动,1.6L,手动,舒适型,2011/4/1,8.2,4.7,10.8,0.44,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,手动,风尚型,2012/10/1,8.2,7.3,14.4,0.51,小于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-三厢,1.6L,手动,风尚型,2012/10/1,8.2,7.3,14.4,0.51,小于10万,中低级轿车
别克凯越,Buick,外国,2008款,,1.6L,自动,舒适版,2009/3/1,8.3,4.4,12.8,0.34,小于10万,中低级轿车
别克凯越,Buick,外国,2008款,,1.6L,自动,舒适版,2009/3/1,8.3,4.4,12.8,0.34,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2010款,世嘉-三厢,1.6L,手动,尚乐版,2010/7/1,8.3,4.4,11.9,0.37,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2010款,世嘉-三厢,1.6L,手动,尚乐版,2010/7/1,8.3,4.4,11.9,0.37,小于10万,中低级轿车
日产颐达,Nissan,外国,2008款,颐达,1.6L,自动,JE 智能型,2010/1/1,8.3,5.8,13.8,0.42,小于10万,中低级轿车
日产颐达,Nissan,外国,2008款,颐达,1.6L,自动,JE 智能型,2010/1/1,8.3,5.8,13.8,0.42,小于10万,中低级轿车
大众速腾,Volkswagen,外国,2009款,速腾,1.6L,自动,时尚版,2009/3/1,8.4,6.8,15.7,0.43,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,手动,SE,2010/4/1,8.5,5.38,13,0.41,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,手动,SE,2010/4/1,8.5,5.38,13,0.41,小于10万,中低级轿车
日产轩逸,Nissan,外国,2012款,,1.6L,无级,XL 豪华版,2012/9/1,8.5,8.8,14.7,0.6,小于10万,中低级轿车
日产轩逸,Nissan,外国,2012款,,1.6L,无级,XL豪华版,2012/9/1,8.5,8.8,14.7,0.6,小于10万,中低级轿车
起亚秀尔,Kia,外国,2010款,,1.6L,自动,GLS,2010/1/1,8.6,5.2,13.7,0.38,小于10万,中低级轿车
起亚秀尔,Kia,外国,2010款,,1.6L,自动,GLS,2010/1/1,8.6,5.2,13.7,0.38,小于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,自动,经典款 时尚版,2010/10/1,8.7,5.5,13.3,0.41,小于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,自动,经典款 时尚版,2010/10/1,8.7,5.5,13.3,0.41,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2010款,悦动,1.6L,自动,豪华型,2010/8/1,8.8,5,13,0.38,小于10万,中低级轿车
东风风行菱智M3,东风风行,中国,2013款,,1.6L,手动,标准型,2013/12/1,8.8,3.8,7.3,0.52,小于10万,中低级轿车
东风风行菱智M3,东风风行,中国,2013款,,1.6L,手动,标准型,2013/12/1,8.8,3.8,7.3,0.52,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2012款,朗动,1.6L,手动,GLX 领先型,2013/3/1,8.8,7.3,12.6,0.58,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2012款,,1.6L,手动,GLX领先型,2013/3/1,8.8,7.3,12.6,0.58,小于10万,中低级轿车
起亚福瑞迪,Kia,外国,2011款,,1.6L,自动,Premium,2010/7/1,8.9,4.8,13.3,0.36,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2011款,,1.6L,自动,SL 天地版,2011/1/1,9.2,6,13.9,0.43,小于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2011款,,1.6L,自动,SL天地版,2011/1/1,9.2,6,13.9,0.43,小于10万,中低级轿车
大众宝来,Volkswagen,外国,2012款,宝来,1.6L,自动,时尚版,2012/3/1,9.3,7.5,13,0.58,小于10万,中低级轿车
MINI,BMW MINI,外国,2011款,Mini Cooper,1.6L,自动,Fun(进口),2010/11/1,9.5,11.3,29.2,0.39,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,悦雅型,2012/7/1,9.6,5,13.1,0.38,小于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,悦雅型,2012/7/1,9.6,5,13.1,0.38,小于10万,中低级轿车
斯柯达明锐,Skoda,外国,2009款,明锐,1.6L,自动,逸仕版,2010/3/1,9.6,6.5,15.9,0.41,小于10万,中低级轿车
斯柯达明锐,Skoda,外国,2009款,明锐,1.6L,自动,逸仕版,2010/3/1,9.6,6.5,15.9,0.41,小于10万,中低级轿车
大众高尔夫,Volkswagen,外国,2011款,高尔夫6,1.6L,双离合,舒适版,2011/8/1,9.6,7.5,15.2,0.49,小于10万,中低级轿车
大众高尔夫,Volkswagen,外国,2011款,高尔夫6,1.6L,双离合,舒适版,2011/8/1,9.6,7.5,15.2,0.49,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2010款,悦动,1.6L,自动,豪华型,2010/12/1,9.8,5.2,13,0.4,小于10万,中低级轿车
现代伊兰特,Hyundai,外国,2010款,悦动,1.6L,自动,豪华型,2010/12/1,9.8,5.2,13,0.4,小于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/7/1,9.9,3.5,6.9,0.51,小于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/7/1,9.9,3.5,6.9,0.51,小于10万,中低级轿车
大众捷达,Volkswagen,外国,2009款,捷达,1.6L,手动,CIF-P 伙伴精英版,2009/3/1,10,3.3,8,0.41,大于或等于10万,中低级轿车
大众捷达,Volkswagen,外国,2009款,捷达,1.6L,手动,CIF-P 伙伴精英版,2009/3/1,10,3.3,8,0.41,大于或等于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-两厢,1.6L,双离合,风尚型,2013/12/1,10,8.5,15.6,0.54,大于或等于10万,中低级轿车
福特福克斯,Ford,外国,2012款,福克斯-两厢,1.6L,双离合,风尚型,2013/12/1,10,8.5,15.6,0.54,大于或等于10万,中低级轿车
大众速腾,Volkswagen,外国,2009款,速腾,1.6L,自动,时尚版,2009/6/1,10.2,5.95,15.7,0.38,大于或等于10万,中低级轿车
大众速腾,Volkswagen,外国,2009款,速腾,1.6L,自动,时尚版,2009/6/1,10.2,5.95,15.7,0.38,大于或等于10万,中低级轿车
中华H530,中华,中国,2012款,,1.6L,手动,舒适版,2012/11/1,10.3,4.5,9.3,0.48,大于或等于10万,中低级轿车
大众捷达,Volkswagen,外国,2008款,捷达,1.6L,手动,CIF-P伙伴,2008/12/1,10.4,3.2,8.1,0.4,大于或等于10万,中低级轿车
大众速腾,Volkswagen,外国,2007款,速腾,1.6L,自动,时尚版,2008/11/1,10.5,6.8,16.3,0.42,大于或等于10万,中低级轿车
大众速腾,Volkswagen,外国,2007款,速腾,1.6L,自动,时尚版,2008/11/1,10.5,6.8,16.3,0.42,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2009款,世嘉-三厢,1.6L,手动,时尚型,2009/11/1,10.5,5.5,11.8,0.47,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2009款,世嘉-三厢,1.6L,手动,时尚型,2009/11/1,10.5,5.5,11.8,0.47,大于或等于10万,中低级轿车
丰田卡罗拉,Toyota,外国,2009款,卡罗拉,1.6L,自动,GL天窗特别版,2009/11/1,10.8,5.7,15.9,0.36,大于或等于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,手动,经典款 时尚版,2010/9/1,10.8,4.7,12.2,0.39,大于或等于10万,中低级轿车
马自达3,Mazda,外国,2010款,3,1.6L,手动,经典款 精英版,2010/9/1,10.8,4.7,12.2,0.39,大于或等于10万,中低级轿车
大众Polo,Volkswagen,外国,2009款,POLO劲情,1.6L,自动,Sporty,2009/6/1,10.8,5,11.7,0.43,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,悦雅型,2011/5/1,11,4.7,13.1,0.36,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,悦雅型,2011/5/1,11,4.7,13.1,0.36,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2012款,宝来,1.6L,手动,舒适版,2012/11/1,11.2,6.2,12.9,0.48,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2012款,宝来,1.6L,手动,舒适版,2012/11/1,11.2,6.2,12.9,0.48,大于或等于10万,中低级轿车
大众速腾,Volkswagen,外国,2009款,速腾,1.6L,手动,时尚版,2008/8/1,11.3,5.1,14.4,0.35,大于或等于10万,中低级轿车
雪铁龙爱丽舍,Citroen,外国,2010款,爱丽舍-三厢,1.6L,手动,科技型,2010/2/1,11.4,2.7,8,0.34,大于或等于10万,中低级轿车
雪铁龙爱丽舍,Citroen,外国,2010款,爱丽舍-三厢,1.6L,手动,科技型,2010/2/1,11.4,2.7,8,0.34,大于或等于10万,中低级轿车
东风风行菱智M3,东风风行,中国,2013款,,1.6L,手动,标准型,2014/2/1,11.4,4,7.3,0.55,大于或等于10万,中低级轿车
东风风行菱智M3,东风风行,中国,2013款,,1.6L,手动,标准型,2014/2/1,11.4,4,7.3,0.55,大于或等于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,自动,SE,2010/8/1,11.7,5.7,14.4,0.4,大于或等于10万,中低级轿车
雪佛兰科鲁兹,Chevrolet,外国,2009款,,1.6L,自动,SE,2010/8/1,11.7,5.7,14.4,0.4,大于或等于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/10/1,11.9,3.8,6.9,0.55,大于或等于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/10/1,11.9,3.8,6.9,0.55,大于或等于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/10/1,11.9,3.8,6.9,0.55,大于或等于10万,中低级轿车
东风风行菱智,东风风行,中国,2012款,,1.6L,手动,商用版实用型,2012/10/1,11.9,3.8,6.9,0.55,大于或等于10万,中低级轿车
别克凯越,Buick,外国,2008款,,1.6L,手动,LE舒适版,2008/12/1,12,4,12.8,0.31,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2008款,宝来,1.6L,手动,时尚版,2009/6/1,12,5,11.7,0.43,大于或等于10万,中低级轿车
MINI,BMW MINI,外国,2007款,Mini,1.6L,自动,Excitement(进口),2008/11/1,12.1,8.5,34.5,0.25,大于或等于10万,中低级轿车
MINI,BMW MINI,外国,2007款,Mini Cooper,1.6L,自动,Excitement(进口),2008/11/1,12.1,8.5,34.5,0.25,大于或等于10万,中低级轿车
现代伊兰特,Hyundai,外国,2008款,悦动,1.6L,自动,豪华型,2009/4/1,12.3,5,13,0.38,大于或等于10万,中低级轿车
雪铁龙爱丽舍,Citroen,外国,2008款,爱丽舍-三厢,1.6L,手动,标准型,2009/1/1,12.4,2.8,8,0.35,大于或等于10万,中低级轿车
大众捷达,Volkswagen,外国,2008款,捷达,1.6L,手动,GIF前卫,2009/12/1,13.1,3.5,9.5,0.37,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,冠军版,2012/1/1,13.1,4.6,12,0.38,大于或等于10万,中低级轿车
雪铁龙世嘉,Citroen,外国,2011款,世嘉-两厢,1.6L,手动,冠军版,2012/1/1,13.1,4.6,12,0.38,大于或等于10万,中低级轿车
日产骐达,Nissan,外国,2008款,骐达,1.6L,手动,智能型,2008/10/1,13.2,3.6,12.7,0.28,大于或等于10万,中低级轿车
现代伊兰特-三厢,Hyundai,外国,2007款,,1.6L,手动,舒适型,2010/9/1,13.5,3.9,9.7,0.4,大于或等于10万,中低级轿车
现代伊兰特-三厢,Hyundai,外国,2007款,,1.6L,手动,舒适型,2010/9/1,13.5,3.9,9.7,0.4,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2008款,宝来,1.6L,手动,舒适版,2009/11/1,13.6,5.1,12.9,0.4,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2008款,宝来,1.6L,手动,舒适版,2009/11/1,13.6,5.1,12.9,0.4,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2008款,宝来,1.6L,手动,时尚版,2008/10/1,13.7,3.96,11.7,0.34,大于或等于10万,中低级轿车
大众宝来,Volkswagen,外国,2008款,宝来,1.6L,手动,时尚版,2008/10/1,13.7,3.96,11.7,0.34,大于或等于10万,中低级轿车
标致307-三厢,Peugeot,外国,2007款,,1.6L,手动,尊贵版,2008/10/1,13.9,3,13.3,0.23,大于或等于10万,中低级轿车
标致307-三厢,Peugeot,外国,2007款,,1.6L,手动,尊贵版,2008/10/1,13.9,3,13.3,0.23,大于或等于10万,中低级轿车
福特翼虎,Ford,外国,2013款,翼虎,1.6GTDi,自动,两驱风尚型,2013/12/1,7.9,16,23.6,0.68,小于10万,中低级轿车
丰田雅力士,Toyota,外国,2008款,雅力士,1.6G,自动,精致版,2008/11/1,3.8,4,11.5,0.35,小于10万,中低级轿车
丰田雅力士,Toyota,外国,2011款,雅力士,1.6G,自动,炫动版,2012/10/1,4.9,5.65,10.9,0.52,小于10万,中低级轿车
丰田雅力士,Toyota,外国,2009款,雅力士,1.6E,自动,舒适版,2010/4/1,3,6.5,10.8,0.6,小于10万,中低级轿车
丰田雅力士,Toyota,外国,2011款,雅力士,1.6E,自动,魅动版,2010/12/1,7.9,4.4,10.3,0.43,小于10万,中低级轿车
丰田雅力士,Toyota,外国,2011款,雅力士,1.6E,自动,魅动版,2010/12/1,7.9,4.4,10.3,0.43,小于10万,中低级轿车
比亚迪思锐,BYD,外国,2013款,,1.5TID,双离合,尊贵型,2013/10/1,8.9,8,13.1,0.61,小于10万,低级轿车
比亚迪S6,BYD,外国,2014款,,1.5TI,手动,尊贵型,2014/11/1,2.5,7.5,10.6,0.71,小于10万,低级轿车
比亚迪S6,BYD,外国,2014款,,1.5TI,手动,尊贵型,2014/11/1,2.5,7.5,10.6,0.71,小于10万,低级轿车
比亚迪S7,BYD,外国,2015款,,1.5TI,手动,7座尊贵型,2015/12/1,3,8.5,12.7,0.67,小于10万,低级轿车
比亚迪S7,BYD,外国,2015款,,1.5TI,手动,7座尊贵型,2015/12/1,3,8.5,12.7,0.67,小于10万,低级轿车
东南DX7,东南,中国,2015款,,1.5T,手动,豪华型,2015/12/1,0.3,10,13,0.77,小于10万,低级轿车
东南DX7,东南,中国,2015款,,1.5T,手动,豪华型,2015/12/1,0.3,10,13,0.77,小于10万,低级轿车
MINIMini,BMW MINI,外国,2015款,Mini Cooper,1.5T,自动,Fun(进口),2015/5/1,0.8,22,29.2,0.75,小于10万,低级轿车
别克威朗,Buick,外国,2015款,,1.5T,双离合,20T精英型,2016/4/1,1.5,14.8,18.8,0.79,小于10万,低级轿车
MINI,BMW MINI,外国,2014款,Mini Cooper,1.5T,自动,Fun(进口),2015/5/1,2.1,20.5,27.7,0.74,小于10万,低级轿车
