"","Vehicle.brand","location","style","gear","time","kilometres","price","original.price","hedge.ratio","group1","group2"
"155","其他","外国","2010款","自动",65.9666666666667,13.6,35,71.4,0.49,"大于或等于10万","中高级轿车"
"156","其他","外国","2015款","自动",25.3666666666667,2.7,57,85.8,0.66,"小于10万","中高级轿车"
"157","其他","外国","2011款","自动",60.8666666666667,6,45,79.8,0.56,"小于10万","中高级轿车"
"158","其他","外国","2011款","自动",53.7666666666667,7,42.8,89.2,0.48,"小于10万","中高级轿车"
"159","其他","外国","2011款","自动",53.7666666666667,7,42.8,89.2,0.48,"小于10万","中高级轿车"
"160","其他","外国","2011款","自动",55.8,9.8,40.8,79.8,0.51,"小于10万","中高级轿车"
"161","其他","外国","2014款","自动",20.3333333333333,0.2,65,100.6,0.65,"小于10万","中高级轿车"
"162","其他","外国","2014款","自动",20.3333333333333,0.2,65,100.6,0.65,"小于10万","中高级轿车"
"163","其他","外国","2015款","自动",19.3,0.6,85,134.6,0.63,"小于10万","中高级轿车"
"164","奥迪A6L","外国","2014款","自动",25.3666666666667,2.4,43,80.6,0.53,"小于10万","中高级轿车"
"165","其他","外国","2013款","自动",42.6333333333333,3.5,63.8,120.3,0.53,"小于10万","中高级轿车"
"166","其他","外国","2014款","自动",25.3666666666667,4.9,63.5,120.7,0.53,"小于10万","中高级轿车"
"167","其他","外国","2014款","自动",25.3666666666667,4.9,63.5,120.7,0.53,"小于10万","中高级轿车"
"168","其他","外国","2014款","自动",25.3666666666667,4.9,63.5,120.7,0.53,"小于10万","中高级轿车"
"169","其他","外国","2014款","自动",25.3666666666667,4.9,63.5,120.7,0.53,"小于10万","中高级轿车"
"170","其他","外国","2014款","自动",31.4666666666667,5.2,53,100.6,0.53,"小于10万","中高级轿车"
"171","其他","外国","2014款","自动",31.4666666666667,5.2,53,100.6,0.53,"小于10万","中高级轿车"
"172","其他","外国","2014款","自动",38.5333333333333,6.8,50.2,89.8,0.56,"小于10万","中高级轿车"
"173","其他","外国","2014款","自动",38.5333333333333,6.8,50.2,89.8,0.56,"小于10万","中高级轿车"
"174","其他","外国","2012款","自动",52.7333333333333,8,50,126.7,0.39,"小于10万","中高级轿车"
"175","其他","外国","2012款","自动",52.7333333333333,8,50,126.7,0.39,"小于10万","中高级轿车"
"176","其他","外国","2012款","自动",64.9333333333333,8.5,42,89.1,0.47,"小于10万","中高级轿车"
"177","其他","外国","2012款","自动",64.9333333333333,8.5,42,89.1,0.47,"小于10万","中高级轿车"
"178","其他","外国","2014款","自动",34.5333333333333,9,58,100.6,0.58,"小于10万","中高级轿车"
"179","其他","外国","2014款","自动",34.5333333333333,9,58,100.6,0.58,"小于10万","中高级轿车"
"180","其他","外国","2013款","自动",37.5333333333333,9.1,57.5,95.6,0.6,"小于10万","中高级轿车"
"181","其他","外国","2012款","自动",56.8333333333333,10.6,56,126.7,0.44,"大于或等于10万","中高级轿车"
"182","其他","外国","2011款","自动",62.9,11,43.5,102.9,0.42,"大于或等于10万","中高级轿车"
"183","其他","外国","2011款","自动",74.0666666666667,11.9,48,119.2,0.4,"大于或等于10万","中高级轿车"
"184","其他","外国","2016款","自动",9.13333333333333,0.3,78,100.9,0.77,"小于10万","中高级轿车"
"185","其他","外国","2014款","自动",24.3333333333333,0.7,63,87.7,0.72,"小于10万","中高级轿车"
"186","其他","外国","2014款","自动",30.4666666666667,1,80,106.9,0.75,"小于10万","中高级轿车"
"187","其他","外国","2014款","自动",30.4666666666667,1,80,106.9,0.75,"小于10万","中高级轿车"
"188","其他","外国","2014款","自动",20.3333333333333,1.2,65,114.8,0.57,"小于10万","中高级轿车"
"189","其他","外国","2014款","自动",27.4,1.3,63,87.7,0.72,"小于10万","中高级轿车"
"190","其他","外国","2015款","自动",29.4333333333333,1.4,69,106.2,0.65,"小于10万","中高级轿车"
"191","其他","外国","2015款","自动",29.4333333333333,1.4,69,106.2,0.65,"小于10万","中高级轿车"
"192","其他","外国","2015款","自动",20.3333333333333,1.6,38,52.6,0.72,"小于10万","中高级轿车"
"193","其他","外国","2015款","自动",20.3333333333333,1.6,38,52.6,0.72,"小于10万","中高级轿车"
"194","其他","外国","2014款","自动",19.3,1.6,80,101.8,0.79,"小于10万","中高级轿车"
"195","其他","外国","2014款","自动",19.3,1.6,80,101.8,0.79,"小于10万","中高级轿车"
"196","其他","外国","2013款","自动",38.5333333333333,2.1,37,69.3,0.53,"小于10万","中高级轿车"
"197","其他","外国","2014款","自动",27.4,2.3,75,101.8,0.74,"小于10万","中高级轿车"
"198","其他","外国","2015款","自动",18.3,2.3,155,191.9,0.81,"小于10万","中高级轿车"
"199","其他","外国","2015款","自动",18.3,2.3,155,191.9,0.81,"小于10万","中高级轿车"
"200","其他","外国","2015款","自动",24.3333333333333,2.4,108,145.2,0.74,"小于10万","中高级轿车"
"201","其他","外国","2015款","自动",24.3333333333333,2.4,108,145.2,0.74,"小于10万","中高级轿车"
"202","其他","外国","2014款","自动",31.4666666666667,2.7,75,106.8,0.7,"小于10万","中高级轿车"
"203","其他","外国","2015款","自动",20.3333333333333,2.8,78.5,99.4,0.79,"小于10万","中高级轿车"
"204","宝马5系","外国","2013款","自动",43.6333333333333,3.3,40,69.4,0.58,"小于10万","中高级轿车"
"205","宝马5系","外国","2013款","自动",43.6333333333333,3.3,40,69.4,0.58,"小于10万","中高级轿车"
"206","其他","外国","2011款","自动",60.8666666666667,3.7,51,109.1,0.47,"小于10万","中高级轿车"
"207","其他","外国","2013款","自动",30.4666666666667,3.7,63.5,132.2,0.48,"小于10万","中高级轿车"
"208","其他","外国","2013款","自动",30.4666666666667,3.7,63.5,132.2,0.48,"小于10万","中高级轿车"
"209","其他","外国","2015款","自动",25.3666666666667,3.7,38.2,59.4,0.64,"小于10万","中高级轿车"
"210","其他","外国","2014款","自动",26.3666666666667,4.1,95,123.5,0.77,"小于10万","中高级轿车"
"211","其他","外国","2013款","自动",44.6666666666667,4.2,56.8,119.2,0.48,"小于10万","中高级轿车"
"212","其他","外国","2014款","自动",29.4333333333333,4.2,65.5,133.3,0.49,"小于10万","中高级轿车"
"213","其他","外国","2014款","自动",29.4333333333333,4.2,65.5,133.3,0.49,"小于10万","中高级轿车"
"214","宝马5系","外国","2014款","自动",34.5333333333333,4.3,58.8,108.4,0.54,"小于10万","中高级轿车"
"215","宝马5系","外国","2014款","自动",34.5333333333333,4.3,58.8,108.4,0.54,"小于10万","中高级轿车"
"216","其他","外国","2013款","自动",40.5666666666667,4.7,50,97.8,0.51,"小于10万","中高级轿车"
"217","其他","外国","2013款","自动",40.5666666666667,4.7,50,97.8,0.51,"小于10万","中高级轿车"
"218","其他","外国","2011款","自动",46.7,4.8,80,100.1,0.8,"小于10万","中高级轿车"
"219","其他","外国","2014款","自动",26.3666666666667,5.1,118,169.1,0.7,"小于10万","中高级轿车"
"220","其他","外国","2014款","自动",24.3333333333333,5.2,85,120.3,0.71,"小于10万","中高级轿车"
"221","其他","外国","2014款","自动",24.3333333333333,5.2,85,120.3,0.71,"小于10万","中高级轿车"
"222","宝马5系","外国","2011款","自动",48.6666666666667,5.5,48,87.8,0.55,"小于10万","中高级轿车"
"223","其他","外国","2014款","自动",36.5,5.5,65,118.1,0.55,"小于10万","中高级轿车"
